alert_id,vehicle_id,timestamp,alert_type,message,trip_count,severity,status
crit_TN 14 AK 3524_1773530207,TN 14 AK 3524,2026-03-15T04:46:47.641380,Critical Alert,Aggressive trip with safety score below 30.,1,Medium,Active
repeat_TN 14 AK 3524_1773530207,TN 14 AK 3524,2026-03-15T04:46:47.659255,Repeat Offender Alert,Last 3 trips were aggressive.,3,Medium,Active
crit_TN 14 AK 3524_1773530207,TN 14 AK 3524,2026-03-15T04:46:47.661473,Critical Alert,Aggressive trip with safety score below 30.,1,Medium,Active
repeat_TN 14 AK 3524_1773530207,TN 14 AK 3524,2026-03-15T04:46:47.666076,Repeat Offender Alert,Last 3 trips were aggressive.,3,Medium,Active
crit_TN 14 AK 3524_1773530207,TN 14 AK 3524,2026-03-15T04:46:47.668124,Critical Alert,Aggressive trip with safety score below 30.,1,Medium,Active
repeat_TN 14 AK 3524_1773530207,TN 14 AK 3524,2026-03-15T04:46:47.671279,Repeat Offender Alert,Last 3 trips were aggressive.,3,Medium,Active
repeat_TN 14 AK 3524_1773530207,TN 14 AK 3524,2026-03-15T04:46:47.678574,Repeat Offender Alert,Last 3 trips were aggressive.,3,Medium,Active
repeat_TN 14 AK 3524_1773530207,TN 14 AK 3524,2026-03-15T04:46:47.684348,Repeat Offender Alert,Last 3 trips were aggressive.,3,Medium,Active
crit_TN 14 AK 3524_1773530207,TN 14 AK 3524,2026-03-15T04:46:47.685467,Critical Alert,Aggressive trip with safety score below 30.,1,Medium,Active
repeat_TN 14 AK 3524_1773530207,TN 14 AK 3524,2026-03-15T04:46:47.688043,Repeat Offender Alert,Last 3 trips were aggressive.,3,Medium,Active
crit_TN 14 AK 3524_1773530207,TN 14 AK 3524,2026-03-15T04:46:47.689810,Critical Alert,Aggressive trip with safety score below 30.,1,Medium,Active
repeat_TN 14 AK 3524_1773530207,TN 14 AK 3524,2026-03-15T04:46:47.692606,Repeat Offender Alert,Last 3 trips were aggressive.,3,Medium,Active
repeat_TN 14 AK 3524_1773530207,TN 14 AK 3524,2026-03-15T04:46:47.696996,Repeat Offender Alert,Last 3 trips were aggressive.,3,Medium,Active
repeat_TN 14 AK 3524_1773530207,TN 14 AK 3524,2026-03-15T04:46:47.702059,Repeat Offender Alert,Last 3 trips were aggressive.,3,Medium,Active
repeat_TN 14 AK 3524_1773530207,TN 14 AK 3524,2026-03-15T04:46:47.705260,Repeat Offender Alert,Last 3 trips were aggressive.,3,Medium,Active
crit_V021_1773910611,V021,2026-03-19T14:26:51.744418,Critical Alert,Aggressive trip with safety score below 30.,1,Medium,Active
crit_V021_1773910611,V021,2026-03-19T14:26:51.762068,Critical Alert,Aggressive trip with safety score below 30.,1,Medium,Active
crit_V021_1773910611,V021,2026-03-19T14:26:51.766626,Critical Alert,Aggressive trip with safety score below 30.,1,Medium,Active
crit_V021_1773910611,V021,2026-03-19T14:26:51.777023,Critical Alert,Aggressive trip with safety score below 30.,1,Medium,Active
crit_V021_1773910611,V021,2026-03-19T14:26:51.783318,Critical Alert,Aggressive trip with safety score below 30.,1,Medium,Active
crit_TN 07 CD 5500_1773910862,TN 07 CD 5500,2026-03-19T14:31:02.813863,Critical Alert,Aggressive trip with safety score below 30.,1,Medium,Active
crit_TN 07 CD 5500_1773910862,TN 07 CD 5500,2026-03-19T14:31:02.831463,Critical Alert,Aggressive trip with safety score below 30.,1,Medium,Active
crit_TN 07 CD 5500_1773910862,TN 07 CD 5500,2026-03-19T14:31:02.835003,Critical Alert,Aggressive trip with safety score below 30.,1,Medium,Active
crit_TN 07 CD 5500_1773910862,TN 07 CD 5500,2026-03-19T14:31:02.839496,Critical Alert,Aggressive trip with safety score below 30.,1,Medium,Active
crit_TN 07 CD 5500_1773910862,TN 07 CD 5500,2026-03-19T14:31:02.845372,Critical Alert,Aggressive trip with safety score below 30.,1,Medium,Active
crit_TN 07 CD 5500_1773910862,TN 07 CD 5500,2026-03-19T14:31:02.850882,Critical Alert,Aggressive trip with safety score below 30.,1,Medium,Active
crit_TN 07 CD 5500_1773910862,TN 07 CD 5500,2026-03-19T14:31:02.861765,Critical Alert,Aggressive trip with safety score below 30.,1,Medium,Active
crit_TN 07 CD 5500_1773910862,TN 07 CD 5500,2026-03-19T14:31:02.865650,Critical Alert,Aggressive trip with safety score below 30.,1,Medium,Active
crit_TN 07 CD 5500_1773910862,TN 07 CD 5500,2026-03-19T14:31:02.871042,Critical Alert,Aggressive trip with safety score below 30.,1,Medium,Active
crit_TN 07 CD 5500_1773910862,TN 07 CD 5500,2026-03-19T14:31:02.878697,Critical Alert,Aggressive trip with safety score below 30.,1,Medium,Active
crit_TN 07 CD 5500_1773910862,TN 07 CD 5500,2026-03-19T14:31:02.883508,Critical Alert,Aggressive trip with safety score below 30.,1,Medium,Active
crit_TN 07 CD 5500_1773910862,TN 07 CD 5500,2026-03-19T14:31:02.887550,Critical Alert,Aggressive trip with safety score below 30.,1,Medium,Active
crit_TN 07 CD 5500_1773910862,TN 07 CD 5500,2026-03-19T14:31:02.893555,Critical Alert,Aggressive trip with safety score below 30.,1,Medium,Active
crit_TN 07 CD 5500_1773910862,TN 07 CD 5500,2026-03-19T14:31:02.898205,Critical Alert,Aggressive trip with safety score below 30.,1,Medium,Active
crit_TN 07 CD 5500_1773910862,TN 07 CD 5500,2026-03-19T14:31:02.902880,Critical Alert,Aggressive trip with safety score below 30.,1,Medium,Active
crit_TN 07 CD 5500_1773910862,TN 07 CD 5500,2026-03-19T14:31:02.911182,Critical Alert,Aggressive trip with safety score below 30.,1,Medium,Active
crit_TN 07 CD 5500_1773910862,TN 07 CD 5500,2026-03-19T14:31:02.920095,Critical Alert,Aggressive trip with safety score below 30.,1,Medium,Active
crit_TN 07 CD 5500_1773910862,TN 07 CD 5500,2026-03-19T14:31:02.924886,Critical Alert,Aggressive trip with safety score below 30.,1,Medium,Active
crit_TN 07 CD 5500_1773910862,TN 07 CD 5500,2026-03-19T14:31:02.940082,Critical Alert,Aggressive trip with safety score below 30.,1,Medium,Active
