speed_t0,speed_t1,speed_t2,speed_t3,speed_t4,speed_t5,speed_t6,speed_t7,speed_t8,speed_t9,speed_t10,speed_t11,speed_t12,speed_t13,speed_t14,speed_t15,speed_t16,speed_t17,speed_t18,speed_t19,speed_t20,speed_t21,speed_t22,speed_t23,speed_t24,speed_t25,speed_t26,speed_t27,speed_t28,speed_t29,speed_t30,speed_t31,speed_t32,speed_t33,speed_t34,speed_t35,speed_t36,speed_t37,speed_t38,speed_t39,speed_t40,speed_t41,speed_t42,speed_t43,speed_t44,speed_t45,speed_t46,speed_t47,speed_t48,speed_t49
3.73,7.75,12.14,22.03,30.16,38.24,43.75,49.6,56.16,64.98,67.47,60.7,61.28,58.97,69.93,62.7,64.81,64.12,68.18,67.2,67.04,62.78,67.26,68.0,67.17,61.35,61.83,70.43,71.05,65.01,65.0,65.69,66.95,60.89,65.91,62.12,65.15,62.56,63.27,65.76,62.21,60.98,55.52,50.49,46.55,43.0,34.93,30.2,24.28,21.1
0.0,6.45,11.92,13.63,21.17,27.51,33.8,38.34,46.44,50.12,47.83,52.22,48.96,54.93,50.02,50.62,45.71,54.13,49.79,55.12,50.05,49.26,48.37,51.83,51.47,45.9,48.2,52.07,47.97,47.45,50.49,50.17,48.51,55.21,49.46,46.11,45.05,52.97,46.61,50.0,50.8,45.4,44.18,43.81,37.67,35.5,29.39,28.49,25.35,20.49
110.68,91.07,75.1,69.05,85.51,87.06,68.12,84.78,87.77,100.14,78.57,109.32,84.93,69.86,80.32,70.93,48.59,81.92,87.51,70.73,69.23,89.32,117.16,78.42,53.84,70.39,96.12,75.42,80.12,90.93,80.61,101.06,79.81,105.57,98.47,84.86,71.35,89.95,80.76,70.54,85.43,82.39,64.04,71.58,106.67,85.26,100.45,87.99,99.13,90.96
0.0,8.18,10.29,22.04,31.44,35.81,41.3,52.2,57.54,64.26,60.32,66.04,56.32,60.92,68.16,62.92,66.1,65.23,63.38,58.97,59.97,59.92,65.4,65.96,61.31,63.71,63.97,64.18,61.66,68.86,65.98,64.17,62.39,61.45,65.14,62.53,64.35,58.25,62.36,63.62,61.91,59.79,52.81,49.92,44.51,41.7,33.5,29.47,26.48,19.53
35.36,91.78,105.76,63.59,68.55,82.03,84.33,81.12,77.09,68.94,76.4,93.54,116.75,124.03,69.29,101.06,76.99,89.43,82.23,77.25,45.46,90.94,115.99,91.4,91.22,97.47,90.11,83.27,87.64,114.08,100.42,65.6,61.05,99.91,74.16,63.84,62.71,105.35,37.81,74.19,74.69,84.39,94.05,110.41,74.3,65.52,83.42,81.43,90.84,58.1
1.62,6.03,14.31,20.16,26.46,34.42,35.73,43.36,54.16,56.44,61.48,58.49,58.78,53.73,59.17,57.78,52.21,61.23,57.44,55.77,55.83,50.91,58.74,57.74,56.38,60.79,52.81,55.17,54.41,56.12,57.16,58.25,55.92,54.33,62.02,64.19,57.39,54.69,61.39,52.62,51.33,52.45,49.02,39.41,43.2,35.0,32.98,27.76,21.53,17.86
0.0,3.52,9.58,12.81,16.54,25.84,27.04,33.09,38.09,41.01,40.14,36.71,45.36,40.1,45.78,44.83,43.86,44.03,40.34,47.76,42.32,43.09,40.24,39.39,43.62,42.84,39.82,37.87,38.38,45.78,40.35,41.17,46.54,38.82,40.01,39.88,47.04,48.17,44.44,44.54,45.09,37.49,37.78,35.28,32.22,27.27,29.14,26.42,21.11,21.41
79.25,103.16,93.21,82.73,79.2,83.32,84.17,79.35,103.49,103.18,101.15,74.22,91.14,78.67,86.36,111.32,84.37,113.54,84.22,35.59,80.35,102.03,69.68,80.35,106.86,92.43,91.8,140.0,92.46,81.0,86.12,75.88,104.57,96.4,140.0,104.06,84.53,78.16,30.94,79.03,91.48,103.09,87.48,131.29,88.37,99.13,81.49,63.14,55.98,101.35
93.06,96.8,85.39,97.14,106.11,119.58,117.21,107.53,72.93,96.57,97.51,106.43,90.43,99.6,109.96,83.14,73.16,109.62,84.69,102.15,120.06,54.42,85.01,79.12,87.32,98.74,127.72,113.01,104.67,87.9,106.82,140.0,92.88,102.42,86.17,127.53,85.96,111.53,90.64,101.94,104.29,133.97,93.47,87.34,40.36,86.46,90.81,105.39,88.6,103.41
0.0,5.63,12.32,17.9,26.01,28.09,31.97,42.89,47.71,53.64,54.61,49.15,50.69,56.59,54.32,55.21,51.98,51.6,52.51,54.49,55.84,53.03,48.8,54.98,54.58,55.22,56.35,56.11,57.86,53.86,52.48,56.9,56.5,53.08,57.1,54.0,57.61,58.97,61.7,53.97,52.35,51.84,45.43,40.75,42.11,36.4,31.18,22.62,23.28,19.96
