speed_t0,speed_t1,speed_t2,speed_t3,speed_t4,speed_t5,speed_t6,speed_t7,speed_t8,speed_t9,speed_t10,speed_t11,speed_t12,speed_t13,speed_t14,speed_t15,speed_t16,speed_t17,speed_t18,speed_t19,speed_t20,speed_t21,speed_t22,speed_t23,speed_t24,speed_t25,speed_t26,speed_t27,speed_t28,speed_t29,speed_t30,speed_t31,speed_t32,speed_t33,speed_t34,speed_t35,speed_t36,speed_t37,speed_t38,speed_t39,speed_t40,speed_t41,speed_t42,speed_t43,speed_t44,speed_t45,speed_t46,speed_t47,speed_t48,speed_t49
104.86,81.5,89.98,131.42,70.75,114.56,97.16,88.84,82.9,83.57,93.5,12.59,91.21,98.42,85.37,70.99,83.57,88.23,76.8,90.08,91.78,104.14,87.73,91.05,83.1,83.99,98.16,86.9,99.63,37.78,75.99,81.4,118.73,88.51,70.33,76.05,81.16,78.99,76.52,107.26,97.69,87.32,82.67,116.06,111.08,79.33,70.79,97.72,42.24,131.84
83.95,46.48,78.0,84.57,61.35,88.41,59.79,26.33,64.39,64.39,89.51,76.46,78.26,67.3,51.76,72.91,73.14,65.48,90.48,49.31,41.47,1.92,76.6,55.41,56.3,79.49,112.53,72.6,77.45,62.97,63.53,77.79,51.94,42.36,62.88,79.25,27.1,78.36,43.88,71.86,101.41,51.87,78.42,89.37,104.93,41.95,84.51,85.98,48.67,61.75
122.96,99.91,85.25,133.97,97.86,106.52,103.57,102.72,111.93,95.17,106.79,103.7,101.69,99.54,36.23,97.28,98.05,91.65,84.03,93.65,94.65,84.24,41.26,75.22,140.0,140.0,100.52,122.75,83.65,73.87,99.93,107.72,90.34,112.99,92.06,113.35,90.96,68.37,107.84,89.25,81.82,106.11,89.65,83.37,116.06,97.87,83.11,94.77,140.0,101.68
79.79,105.91,72.07,92.75,90.42,85.41,91.94,71.78,105.58,108.8,86.27,114.78,80.91,90.51,102.89,80.19,69.12,66.36,110.43,79.35,83.47,72.35,97.08,76.32,79.81,89.3,72.93,105.39,55.65,90.84,87.27,88.28,81.03,109.66,75.96,88.23,87.08,136.6,98.94,85.32,122.07,89.65,58.44,66.63,78.44,78.96,37.22,94.7,106.15,83.13
58.77,86.59,75.12,67.32,73.18,88.24,86.21,80.58,91.42,75.31,100.47,72.83,85.62,87.84,66.17,83.87,112.25,70.99,82.83,88.6,84.09,61.24,70.54,78.68,64.24,92.58,77.64,68.44,67.69,65.54,29.12,83.78,65.91,91.51,69.24,64.32,104.32,29.47,57.5,62.44,64.46,82.87,58.33,78.31,83.98,91.22,67.98,68.93,131.57,90.12
57.2,82.12,105.83,69.71,67.79,69.21,71.86,62.49,55.11,85.43,67.14,73.77,75.19,106.49,57.68,51.65,64.7,76.51,63.03,67.5,97.29,81.18,62.7,94.52,71.23,63.29,85.79,22.14,67.58,74.07,63.86,59.55,70.4,59.63,71.89,76.01,82.0,85.3,66.89,77.75,77.67,107.45,66.01,59.42,27.32,78.05,68.55,41.12,10.52,61.24
109.76,91.19,104.92,43.41,90.4,121.0,94.18,89.46,61.75,82.38,79.53,16.0,82.74,113.56,105.15,81.23,84.19,84.22,100.33,96.11,82.71,84.09,104.23,109.55,80.5,89.85,92.8,88.99,104.82,89.43,114.15,138.7,83.02,92.06,79.54,86.56,101.7,94.2,121.48,29.57,90.86,85.19,87.46,91.76,83.13,102.75,112.27,63.23,107.97,121.46
108.48,84.24,39.93,96.88,95.59,74.08,84.53,95.38,76.68,78.5,80.31,82.65,68.61,95.75,78.63,128.16,88.58,43.04,66.24,88.51,82.21,92.9,97.19,52.82,84.67,99.94,139.97,65.45,133.69,75.32,95.91,80.85,96.4,83.1,70.18,80.46,93.92,82.37,74.56,72.18,99.99,77.62,94.33,111.08,83.85,85.28,93.92,95.08,81.12,84.27
0.0,7.37,13.54,19.57,26.53,37.81,45.0,46.9,56.37,59.85,61.83,62.07,62.98,57.07,59.09,62.78,63.72,60.74,57.21,62.53,61.66,58.33,55.56,63.22,59.66,62.07,61.96,58.07,62.76,58.93,57.02,56.64,61.5,66.29,61.63,66.86,65.86,63.06,66.23,65.89,60.86,54.72,54.32,48.64,44.41,40.22,32.1,28.58,25.5,19.31
2.15,5.8,19.81,20.91,27.92,37.23,47.47,53.65,63.86,67.46,71.24,63.64,66.31,66.88,64.12,68.68,67.04,71.4,67.24,69.44,68.41,60.62,63.76,69.21,69.08,67.86,72.05,69.59,72.77,60.68,73.26,66.24,68.14,71.62,61.72,67.3,71.09,66.21,70.8,70.09,67.08,61.25,56.33,49.25,45.4,38.94,37.46,33.64,25.78,18.65
118.91,95.38,96.22,115.44,106.49,140.0,96.43,111.93,113.29,88.28,106.69,82.53,140.0,90.92,104.46,106.67,95.18,128.92,51.21,129.08,98.45,131.72,73.77,115.16,108.65,97.63,106.65,90.32,120.93,100.66,82.37,83.37,100.65,69.9,114.07,120.04,108.13,75.29,107.56,109.14,117.48,106.29,97.47,105.54,102.62,113.01,105.56,94.85,113.53,97.86
1.57,7.72,13.63,21.66,23.27,37.09,40.7,46.33,55.82,62.6,56.91,62.61,60.67,61.64,59.09,62.9,58.98,61.69,62.84,65.81,63.87,61.72,61.43,62.39,63.75,59.22,64.16,58.64,62.82,63.08,59.44,56.83,60.66,53.56,60.92,57.71,70.79,64.63,61.67,65.45,59.5,56.98,52.32,47.58,46.28,38.38,33.56,27.85,22.96,20.78
65.61,63.99,64.85,64.8,70.72,94.92,58.06,58.88,77.81,50.58,56.43,111.35,95.23,70.45,56.14,56.23,64.8,60.2,73.89,59.9,11.38,43.72,73.73,67.1,35.8,68.57,87.16,72.54,92.5,53.57,83.98,112.94,61.0,67.7,57.72,42.75,79.04,53.65,78.51,71.59,66.67,5.08,71.64,21.68,79.24,64.95,81.17,61.76,64.94,66.39
