speed_t0,speed_t1,speed_t2,speed_t3,speed_t4,speed_t5,speed_t6,speed_t7,speed_t8,speed_t9,speed_t10,speed_t11,speed_t12,speed_t13,speed_t14,speed_t15,speed_t16,speed_t17,speed_t18,speed_t19,speed_t20,speed_t21,speed_t22,speed_t23,speed_t24,speed_t25,speed_t26,speed_t27,speed_t28,speed_t29,speed_t30,speed_t31,speed_t32,speed_t33,speed_t34,speed_t35,speed_t36,speed_t37,speed_t38,speed_t39,speed_t40,speed_t41,speed_t42,speed_t43,speed_t44,speed_t45,speed_t46,speed_t47,speed_t48,speed_t49
0.63,5.05,12.99,15.43,23.15,30.2,30.46,44.6,45.55,47.84,42.22,53.07,51.99,46.84,52.81,53.31,53.65,43.93,55.98,49.67,53.94,54.11,49.26,53.87,50.73,45.67,55.39,49.56,49.32,50.68,52.7,51.71,53.53,47.87,49.66,51.54,57.58,51.54,55.14,52.0,52.2,48.41,44.64,43.24,39.21,34.77,31.53,26.88,27.09,17.04
2.11,9.49,16.55,26.31,30.07,39.09,44.18,57.81,64.43,68.05,64.15,66.8,68.07,69.72,66.25,72.69,64.68,62.81,71.34,61.2,67.41,77.38,67.99,64.66,67.85,67.87,68.51,70.01,64.91,73.09,68.76,70.2,66.14,71.88,67.25,68.86,65.22,65.03,70.09,66.69,68.8,65.41,57.06,50.7,48.43,41.5,36.37,29.0,21.9,20.47
0.0,7.94,15.86,23.78,32.18,38.09,41.98,51.24,65.53,68.54,73.0,66.98,70.84,63.93,70.32,70.24,69.68,67.05,58.23,65.17,65.22,64.16,67.46,65.84,64.62,63.92,64.95,70.46,65.11,65.55,65.72,68.11,68.46,57.96,70.16,71.4,63.94,64.18,65.74,64.83,71.83,64.65,57.11,52.0,46.09,37.46,35.73,32.89,24.03,20.82
0.09,2.91,15.95,20.04,27.11,35.66,38.25,47.25,52.47,58.9,63.2,61.86,60.19,58.58,55.7,65.1,56.99,61.26,62.45,57.61,62.39,61.56,64.45,57.86,55.41,57.75,59.9,59.45,58.09,53.54,60.68,65.19,60.66,61.1,60.99,60.46,62.07,60.46,58.33,56.88,57.73,58.24,49.79,47.58,38.07,39.81,35.19,28.92,23.91,20.8
0.0,5.04,10.71,18.56,24.99,28.26,32.17,42.97,46.0,55.43,50.99,48.45,52.57,47.29,52.08,47.7,53.35,49.19,50.61,52.85,49.65,51.79,47.42,53.86,57.26,60.34,52.24,54.33,46.62,56.47,54.29,50.51,55.68,51.2,50.59,53.39,48.78,55.03,48.8,48.82,47.47,48.8,48.7,40.6,37.31,34.8,29.54,26.48,22.88,18.75
0.0,6.29,15.04,20.64,29.22,37.24,43.56,49.3,55.29,60.21,53.85,61.63,67.35,62.54,64.43,62.47,60.17,55.45,62.79,59.85,59.77,60.68,67.41,69.39,62.82,60.78,58.64,63.58,67.52,61.43,55.04,64.18,65.13,57.42,62.7,63.53,61.95,59.8,65.22,60.96,63.65,60.85,53.49,51.95,40.38,36.44,35.77,29.9,27.31,19.97
0.47,0.0,5.96,10.58,18.16,16.78,23.06,29.51,27.68,34.88,30.84,34.19,32.18,38.55,31.89,29.9,27.64,34.0,32.41,29.81,37.66,36.1,34.01,38.19,36.08,31.63,30.98,36.55,35.28,34.61,31.56,35.92,31.83,33.79,38.44,32.11,29.38,30.94,37.08,34.86,32.49,31.52,29.36,27.93,33.27,27.95,26.9,24.12,18.35,20.79
1.07,1.9,6.59,13.61,16.02,19.34,20.05,25.64,27.59,31.18,25.36,31.84,30.24,31.59,34.41,29.91,25.95,37.7,28.58,28.39,34.88,30.42,31.38,33.02,34.82,30.57,36.13,25.16,33.85,29.05,35.69,32.0,29.55,33.56,34.25,33.5,28.48,30.12,31.56,31.45,32.39,29.09,31.98,27.39,27.66,28.05,25.92,19.75,22.18,21.7
1.62,4.94,12.89,19.42,23.65,36.59,35.53,42.14,53.76,58.95,56.78,58.52,61.42,59.52,55.38,61.05,56.62,53.81,57.0,61.83,58.01,57.56,62.43,53.22,53.66,52.67,58.64,58.02,62.15,58.25,56.31,57.52,57.87,52.5,65.65,59.08,58.15,59.36,59.65,57.1,55.47,54.56,52.12,44.95,46.04,33.23,33.89,30.67,25.95,19.59
0.0,8.33,17.44,25.6,30.91,38.35,46.93,52.01,61.68,71.31,70.14,77.64,70.4,70.0,70.14,67.91,69.65,73.2,70.16,67.44,67.05,68.47,70.04,73.4,65.8,68.86,70.25,64.32,67.32,67.78,67.43,70.4,69.34,68.15,71.1,74.99,74.74,64.05,71.55,69.29,71.1,63.74,59.18,51.56,49.09,41.99,36.05,30.35,25.41,19.1
0.0,6.1,17.06,21.36,26.12,35.03,40.22,48.15,58.37,62.45,61.79,62.23,61.18,62.14,56.25,66.43,70.96,65.24,60.55,62.87,63.42,61.74,67.38,67.23,61.33,66.97,69.38,70.5,73.39,62.09,73.27,63.73,63.02,65.78,63.05,65.99,60.84,64.08,68.65,64.63,67.02,59.68,55.01,49.31,46.43,41.48,35.6,31.08,24.55,21.08
2.06,2.64,5.98,12.45,16.78,18.27,19.07,22.75,27.33,31.21,27.84,30.99,31.5,26.11,32.39,34.6,30.04,34.64,29.99,33.11,23.91,37.82,35.05,29.71,24.65,31.43,26.23,31.9,31.8,27.74,33.93,32.98,33.49,30.59,26.32,33.5,29.75,26.39,34.62,36.86,28.59,30.84,28.39,23.61,24.01,23.69,23.38,26.13,21.65,18.32
101.61,139.18,112.22,97.42,117.38,108.61,89.22,124.23,101.64,87.69,117.55,140.0,97.32,63.09,95.65,106.29,140.0,104.56,98.93,115.69,93.96,110.09,94.26,129.19,96.35,97.04,93.19,113.85,88.92,88.83,123.17,109.45,18.65,121.77,75.97,86.31,60.05,96.07,84.01,98.43,78.21,98.71,92.74,115.74,114.65,107.14,93.79,121.54,79.08,80.87
0.93,6.43,14.03,19.52,31.94,36.84,45.49,50.58,61.04,66.17,64.8,61.9,62.42,63.89,65.03,67.21,64.65,68.71,67.0,67.73,71.11,64.15,68.95,67.65,66.69,70.35,70.33,64.85,67.15,68.54,66.87,69.45,68.54,73.19,63.1,67.33,64.97,69.51,62.84,68.73,67.41,64.15,58.68,51.75,42.96,47.18,39.39,32.04,23.79,19.77
1.09,5.91,11.86,14.07,19.17,29.41,29.56,36.53,40.08,41.38,45.07,45.5,45.24,41.1,46.75,46.97,47.13,47.92,46.89,43.85,44.87,45.35,45.4,48.07,47.01,51.31,51.7,45.32,33.57,48.79,43.46,42.67,43.88,43.74,46.91,40.4,41.84,46.11,46.95,47.0,40.99,41.13,41.62,38.3,35.76,29.17,31.59,23.64,23.21,19.98
1.61,11.95,16.9,24.75,34.21,38.59,45.03,55.03,63.44,67.14,62.46,65.02,68.44,72.38,71.46,68.79,67.13,68.91,66.54,73.25,67.53,67.84,61.45,67.51,70.61,64.9,65.85,70.48,63.67,71.27,66.5,66.93,64.73,69.23,75.48,70.44,65.51,71.51,67.15,72.22,66.66,63.03,59.07,53.66,43.87,45.2,34.75,30.16,23.54,25.4
100.99,99.85,88.37,100.71,80.72,26.08,66.5,74.74,112.32,140.0,91.41,110.58,88.7,87.7,91.3,89.13,88.04,104.35,92.43,99.17,103.0,95.28,78.98,74.39,92.41,88.57,91.67,90.43,121.63,74.66,66.75,94.61,86.11,94.42,97.63,106.03,72.54,83.94,95.77,99.87,116.95,102.09,45.67,79.94,73.69,108.64,98.49,93.71,74.74,85.39
4.43,3.89,12.53,19.69,30.17,30.28,43.48,47.61,53.51,57.3,59.19,60.8,56.88,63.46,58.56,55.33,59.83,56.71,61.26,65.89,56.91,60.26,54.0,60.63,56.61,57.39,55.96,61.46,62.29,59.34,56.67,64.03,57.01,52.78,60.64,55.95,62.23,58.12,61.08,63.47,60.41,53.46,53.07,44.24,41.59,36.34,31.11,30.21,25.43,22.42
0.0,3.42,10.86,14.73,21.5,24.89,28.72,38.63,39.05,46.47,44.15,45.9,44.86,45.58,42.85,44.84,41.36,48.01,42.24,47.53,43.44,44.75,42.66,41.09,38.91,40.98,43.17,44.78,47.17,42.8,41.5,39.81,45.58,48.29,47.94,46.27,46.06,49.23,45.14,46.08,43.34,42.88,40.63,36.51,28.7,30.77,30.51,26.42,23.57,16.56
0.0,6.31,9.91,12.21,15.04,21.58,24.88,26.15,28.79,34.8,30.52,37.27,34.58,37.05,40.97,28.95,33.28,34.75,39.74,30.47,41.18,35.78,35.09,34.78,34.07,38.52,32.17,36.41,34.22,33.09,43.14,36.63,37.22,38.79,31.11,40.63,27.85,33.07,34.0,37.12,38.41,35.96,29.74,27.92,31.09,24.56,26.14,22.19,24.94,18.46
0.0,8.94,18.94,18.57,28.29,33.26,45.93,48.69,54.11,65.39,66.46,60.6,63.05,69.06,64.32,64.5,71.04,59.92,66.51,69.11,63.14,66.7,61.17,62.06,65.27,66.51,67.48,68.83,63.92,67.7,63.09,66.82,64.74,65.46,65.39,59.3,60.75,64.43,59.06,66.61,67.61,60.54,54.72,50.23,47.34,37.86,34.48,28.9,22.57,19.34
79.96,73.47,74.4,103.22,72.95,57.06,62.95,68.97,70.0,70.51,65.01,62.14,104.56,77.55,107.27,63.87,61.25,89.89,38.3,44.1,47.84,59.03,69.15,63.8,32.07,48.88,57.65,84.91,104.49,100.53,91.28,58.34,94.15,22.85,43.21,62.94,77.24,73.16,74.1,62.16,58.8,81.9,60.7,70.2,68.63,84.21,23.29,51.13,52.42,73.62
