speed_t0,speed_t1,speed_t2,speed_t3,speed_t4,speed_t5,speed_t6,speed_t7,speed_t8,speed_t9,speed_t10,speed_t11,speed_t12,speed_t13,speed_t14,speed_t15,speed_t16,speed_t17,speed_t18,speed_t19,speed_t20,speed_t21,speed_t22,speed_t23,speed_t24,speed_t25,speed_t26,speed_t27,speed_t28,speed_t29,speed_t30,speed_t31,speed_t32,speed_t33,speed_t34,speed_t35,speed_t36,speed_t37,speed_t38,speed_t39,speed_t40,speed_t41,speed_t42,speed_t43,speed_t44,speed_t45,speed_t46,speed_t47,speed_t48,speed_t49
1.11,0.36,8.45,17.49,18.4,24.02,31.29,32.41,38.98,42.9,43.76,38.31,39.48,37.2,39.85,40.14,41.67,40.95,37.75,40.5,46.41,46.06,43.44,44.06,48.25,43.79,44.0,37.38,38.73,41.97,39.65,39.08,39.42,37.8,39.7,43.09,47.46,44.46,43.98,37.2,43.32,40.38,36.07,33.82,30.55,26.53,29.85,24.93,24.84,23.13
3.91,8.1,11.29,15.98,24.65,29.73,34.52,38.65,44.76,50.23,54.36,52.49,52.55,50.13,45.11,49.42,47.62,50.99,54.23,56.45,50.72,45.53,50.72,50.8,52.56,50.47,50.73,48.63,49.59,52.07,44.5,49.58,52.59,55.45,49.33,54.08,55.6,49.37,48.85,49.98,49.91,45.93,44.27,39.06,37.31,29.37,28.98,28.98,21.59,21.18
0.0,5.09,8.71,11.61,16.1,20.28,24.31,32.54,36.66,41.31,36.12,44.22,38.26,37.61,44.36,41.27,40.21,36.53,41.85,48.13,42.08,40.93,41.6,38.46,38.43,38.39,37.72,38.38,38.37,38.71,38.62,40.17,39.68,39.94,44.01,39.67,46.07,40.5,38.1,43.49,39.45,36.79,34.67,35.0,27.16,27.61,24.71,27.04,21.21,16.73
90.65,89.41,88.94,105.83,100.02,94.95,32.05,95.3,100.46,100.91,99.26,106.69,68.49,118.93,81.61,73.75,129.18,76.83,53.56,103.92,118.6,101.98,47.03,96.71,75.63,91.92,91.93,99.17,120.64,74.09,119.39,75.33,91.29,86.95,79.4,61.1,100.4,106.88,90.95,96.48,116.47,97.3,107.03,89.92,105.92,90.74,74.57,134.83,125.31,99.67
0.0,4.76,11.11,16.07,20.69,21.92,29.34,33.02,40.51,42.55,51.62,46.55,47.4,46.49,46.0,45.26,42.89,40.34,43.69,45.77,44.29,40.88,43.58,43.42,43.89,45.55,46.2,42.58,47.02,47.47,45.04,46.07,47.03,40.78,47.24,41.71,42.0,44.67,37.65,44.6,44.98,40.84,34.97,37.91,33.33,33.25,24.7,24.77,22.24,20.54
0.0,2.07,9.79,14.83,16.21,17.54,25.15,30.11,34.18,37.1,39.83,46.3,35.28,38.32,34.07,31.56,40.39,39.71,35.66,38.5,36.34,36.74,37.26,35.54,36.07,36.16,39.49,29.9,37.54,34.96,35.07,36.65,38.18,37.58,35.03,40.39,35.52,36.02,39.08,39.19,37.92,34.7,31.95,33.66,30.32,27.8,25.06,23.69,22.35,23.46
0.0,4.68,12.13,20.22,30.91,36.98,39.54,47.77,53.89,61.53,59.22,63.56,60.76,55.47,61.75,59.4,61.27,66.22,61.94,58.22,64.16,62.36,57.86,56.45,58.34,63.78,60.36,61.51,57.25,63.86,55.22,59.3,62.52,57.9,63.11,58.66,57.59,65.13,61.73,62.83,61.79,57.74,46.3,48.25,42.13,36.93,35.34,32.1,25.96,18.96
0.55,2.92,11.76,16.29,20.63,24.42,33.04,39.19,40.57,49.51,48.59,46.66,53.46,45.18,47.81,54.55,50.88,49.41,49.54,46.63,49.27,48.42,50.01,44.95,50.67,52.52,48.86,51.41,50.4,47.65,46.3,46.72,50.35,49.3,53.3,51.85,51.84,50.26,46.59,50.45,49.72,45.09,43.68,39.38,36.94,34.17,30.89,28.58,23.95,19.05
0.0,4.45,13.82,16.95,19.35,24.36,29.89,38.18,38.93,43.03,44.79,43.46,44.94,40.44,43.13,46.27,46.0,44.58,40.29,39.82,43.28,43.48,42.64,40.52,44.25,43.27,43.81,44.72,42.12,41.47,46.26,40.67,41.53,46.64,41.3,42.64,41.7,37.59,42.57,39.91,42.26,40.86,36.67,36.28,29.88,29.67,29.12,25.84,21.62,19.54
0.64,5.36,13.68,17.01,26.38,30.02,41.97,44.37,51.87,55.32,59.9,54.01,53.7,64.03,58.56,59.78,58.27,55.54,52.97,56.0,53.96,54.14,52.14,57.24,61.61,58.57,56.58,56.77,47.75,55.62,52.61,57.3,56.11,54.29,57.23,57.2,61.45,58.95,57.55,54.05,58.53,52.77,45.87,44.12,44.36,38.12,31.54,24.46,22.43,17.19
