speed_t0,speed_t1,speed_t2,speed_t3,speed_t4,speed_t5,speed_t6,speed_t7,speed_t8,speed_t9,speed_t10,speed_t11,speed_t12,speed_t13,speed_t14,speed_t15,speed_t16,speed_t17,speed_t18,speed_t19,speed_t20,speed_t21,speed_t22,speed_t23,speed_t24,speed_t25,speed_t26,speed_t27,speed_t28,speed_t29,speed_t30,speed_t31,speed_t32,speed_t33,speed_t34,speed_t35,speed_t36,speed_t37,speed_t38,speed_t39,speed_t40,speed_t41,speed_t42,speed_t43,speed_t44,speed_t45,speed_t46,speed_t47,speed_t48,speed_t49
0.0,1.94,8.6,13.66,23.12,25.07,34.82,35.77,46.95,44.2,46.59,48.54,49.46,47.43,51.56,47.54,47.45,46.2,51.22,45.98,51.86,48.59,56.14,46.12,51.92,49.63,46.56,49.67,49.52,47.1,49.38,51.59,49.63,46.84,46.67,47.84,51.43,45.84,49.27,43.41,48.95,45.05,39.43,37.63,35.09,32.99,27.49,27.09,23.36,21.56
84.32,56.14,72.8,59.44,45.7,87.09,63.62,63.74,75.93,44.63,64.42,57.99,45.96,88.87,79.32,67.97,78.05,53.87,57.97,51.48,23.96,63.2,62.76,75.04,61.34,79.97,69.84,87.45,48.4,74.98,70.41,70.99,32.18,60.67,65.2,85.1,82.02,63.71,59.59,82.84,81.54,69.85,65.46,62.46,66.49,56.52,39.83,86.85,73.77,53.78
2.24,3.84,9.04,14.43,16.5,19.7,24.4,26.33,36.12,40.43,36.14,41.62,40.85,34.27,36.79,35.99,40.22,42.5,40.61,37.16,38.31,35.09,35.32,41.81,43.6,37.12,39.41,41.43,34.28,36.12,45.25,36.39,38.18,37.46,33.28,39.52,39.19,39.81,39.01,37.89,42.44,37.96,36.3,32.68,31.63,30.74,26.79,23.24,21.7,21.5
1.99,4.23,12.0,15.81,20.89,28.36,28.91,35.96,36.99,43.61,43.78,40.01,41.02,43.5,41.65,41.93,39.43,41.97,47.48,41.19,39.09,45.4,44.1,43.16,38.57,39.0,37.91,43.82,45.59,43.92,48.38,41.2,41.56,42.85,41.84,44.02,40.61,38.34,37.16,43.97,41.52,40.98,38.27,30.9,31.29,30.47,22.99,24.81,24.52,22.6
2.29,5.87,12.72,14.47,19.76,21.44,28.51,35.06,40.45,48.29,49.37,47.42,51.61,40.31,47.76,46.9,43.78,46.97,45.06,46.02,46.68,47.58,44.9,49.97,43.99,50.29,41.26,41.68,41.86,47.51,42.22,49.11,43.06,45.84,46.56,41.59,40.47,45.49,43.81,46.13,40.94,42.36,38.41,36.58,33.89,30.57,25.95,22.84,22.21,17.16
85.05,98.22,75.95,45.77,77.98,72.58,0.0,78.73,99.19,77.33,66.6,64.15,74.83,55.55,74.03,82.91,90.27,88.08,91.26,69.56,62.72,84.8,68.82,75.09,83.98,99.27,81.36,22.68,61.56,89.05,79.92,70.85,69.61,70.14,34.31,57.51,89.63,87.43,73.01,70.16,103.21,76.78,71.42,87.01,57.93,66.47,84.32,78.91,66.86,79.82
77.7,68.56,73.45,78.61,59.4,67.24,87.42,24.68,2.99,101.25,93.26,81.13,53.29,76.54,73.98,52.5,64.39,54.34,37.0,63.96,98.58,52.5,65.6,40.26,66.21,65.9,73.86,46.47,91.38,86.78,56.43,83.23,76.0,60.44,58.43,59.34,99.63,82.03,63.28,64.31,75.88,75.36,54.23,69.28,83.51,67.54,65.14,23.35,62.49,96.42
87.28,73.66,73.17,78.65,68.97,97.13,54.46,79.71,68.57,69.22,68.69,64.02,120.74,71.08,70.39,69.02,90.83,69.68,94.01,75.33,63.85,84.42,89.43,37.02,79.55,82.61,79.93,73.29,38.07,75.77,71.52,57.61,57.72,81.38,77.86,89.44,92.35,75.85,42.7,72.04,76.99,76.64,97.74,89.89,79.5,70.43,75.2,74.68,100.54,94.95
77.19,100.36,93.69,48.47,83.37,84.16,101.1,76.77,109.91,108.04,86.54,85.28,94.29,74.37,95.24,106.73,99.74,67.83,91.64,83.46,77.78,95.49,84.45,91.83,101.42,95.73,73.27,79.73,91.75,95.76,81.54,88.61,88.53,90.21,72.09,69.25,59.12,87.5,69.86,140.0,94.08,72.05,59.72,99.88,100.86,76.54,94.83,101.06,105.08,35.61
140.0,93.05,88.72,110.97,105.23,120.05,101.33,120.09,105.76,111.91,125.05,103.56,118.1,98.2,108.29,88.23,99.51,92.87,120.21,126.43,134.09,43.72,89.8,108.74,98.34,98.98,125.12,102.01,112.6,106.2,89.3,83.42,57.63,126.01,109.34,76.06,94.71,117.74,117.59,97.21,112.11,84.37,114.25,136.15,90.84,110.4,84.3,109.67,91.98,89.41
2.36,2.27,14.26,21.83,30.58,34.66,44.7,49.26,57.7,66.54,65.8,64.87,62.63,60.94,62.09,61.98,69.56,62.39,64.88,67.6,65.28,61.44,67.65,65.76,58.14,68.43,67.32,65.71,69.6,67.25,68.08,67.81,66.97,59.32,59.68,67.25,68.39,62.58,61.36,65.48,62.84,61.21,55.43,49.13,43.5,35.66,34.74,29.27,26.24,21.08
3.21,7.68,15.11,18.71,27.69,33.53,39.52,41.75,50.5,57.6,58.25,53.11,60.76,59.88,57.43,56.04,57.13,54.65,57.46,49.15,57.95,58.03,60.22,58.59,60.62,59.33,60.8,65.55,58.95,58.24,61.25,56.28,57.33,58.95,57.9,57.89,60.39,52.6,63.79,59.14,58.75,58.3,51.03,43.5,39.98,39.53,31.51,30.41,24.42,19.67
0.0,3.05,8.61,13.34,22.5,27.93,34.47,37.65,40.71,49.06,49.08,49.79,48.51,50.49,50.46,46.92,45.62,52.72,50.31,52.31,47.69,47.22,46.66,49.15,50.39,48.06,54.39,47.77,50.44,47.05,47.68,49.44,47.2,49.96,51.02,52.98,46.46,50.2,49.51,44.15,49.72,44.07,40.96,40.7,36.7,35.46,33.34,23.59,22.46,20.25
1.27,7.45,7.05,15.78,17.08,27.15,30.17,35.91,39.17,40.99,45.04,47.57,43.06,44.16,45.3,45.97,43.78,43.38,43.02,41.24,42.25,42.17,39.93,47.54,45.64,44.98,48.47,46.71,42.19,48.08,47.47,41.2,47.27,43.16,47.55,43.54,42.96,43.27,41.64,40.12,43.67,43.69,43.09,36.94,32.27,31.99,29.87,25.72,22.87,20.43
0.0,3.49,13.33,14.2,21.8,30.19,31.41,39.86,47.22,52.06,56.8,49.47,51.35,48.03,56.92,51.09,53.88,54.86,50.42,47.12,52.17,52.12,52.65,52.66,51.33,51.22,53.72,50.36,52.54,51.14,53.72,56.16,56.28,56.7,51.83,52.08,49.02,51.8,51.91,50.98,50.86,47.99,47.17,45.55,38.52,30.61,32.08,26.5,21.46,18.4
0.0,2.11,9.33,9.41,13.84,17.71,20.82,26.87,25.85,30.5,31.58,32.27,23.43,38.33,25.27,29.14,23.03,29.9,29.32,29.17,31.62,29.97,32.32,26.99,30.94,28.81,29.59,31.51,29.19,30.39,27.24,33.99,32.89,31.0,29.98,30.39,33.93,32.68,33.98,29.68,31.17,29.42,25.89,24.19,22.96,26.21,21.93,23.32,21.36,18.05
0.35,1.11,9.18,11.0,13.93,17.89,25.46,27.74,27.49,35.0,36.08,32.98,29.43,39.28,37.52,34.19,31.74,32.79,34.95,33.51,34.22,39.1,37.04,30.75,34.5,32.71,35.16,34.08,43.17,35.55,33.86,39.8,34.88,29.71,33.89,36.11,35.72,37.28,34.73,34.52,34.48,31.84,30.36,27.78,26.6,26.92,24.2,24.26,20.02,21.41
0.0,6.37,13.6,21.5,27.33,37.45,38.58,51.1,55.25,62.61,59.38,65.63,67.87,60.9,65.3,63.05,64.31,67.87,63.97,65.28,59.2,65.19,67.81,60.21,62.02,65.04,64.33,58.91,63.48,61.99,60.08,67.05,63.0,65.93,59.46,64.75,66.17,62.26,61.49,59.07,62.97,59.62,51.67,47.34,44.88,35.71,34.26,27.96,22.76,16.72
1.13,9.45,15.29,19.06,30.95,36.81,42.31,52.63,61.62,66.78,68.06,66.13,70.04,64.75,69.11,63.27,67.09,60.66,69.42,71.95,64.68,67.14,68.1,62.12,64.52,64.34,73.99,69.91,66.12,69.11,67.4,68.55,63.61,70.89,64.47,64.62,68.54,67.81,66.84,69.29,68.62,62.5,57.33,50.57,47.62,42.62,37.18,29.77,27.17,20.77
