speed_t0,speed_t1,speed_t2,speed_t3,speed_t4,speed_t5,speed_t6,speed_t7,speed_t8,speed_t9,speed_t10,speed_t11,speed_t12,speed_t13,speed_t14,speed_t15,speed_t16,speed_t17,speed_t18,speed_t19,speed_t20,speed_t21,speed_t22,speed_t23,speed_t24,speed_t25,speed_t26,speed_t27,speed_t28,speed_t29,speed_t30,speed_t31,speed_t32,speed_t33,speed_t34,speed_t35,speed_t36,speed_t37,speed_t38,speed_t39,speed_t40,speed_t41,speed_t42,speed_t43,speed_t44,speed_t45,speed_t46,speed_t47,speed_t48,speed_t49
0.0,1.45,5.73,13.66,20.12,20.73,24.71,31.52,33.06,39.28,36.59,39.86,40.51,39.51,38.03,37.94,36.22,36.29,40.84,33.45,38.49,37.76,40.53,34.46,38.77,39.76,33.02,35.51,38.46,40.27,39.28,40.41,35.49,33.97,38.98,35.04,36.14,41.53,39.3,37.03,38.82,35.83,34.54,36.01,31.62,30.51,24.41,26.35,23.36,17.0
82.22,102.33,107.24,102.59,46.6,119.82,130.37,86.58,61.74,134.02,48.71,100.19,84.06,125.12,100.21,82.16,106.85,89.21,83.35,45.46,126.88,77.03,106.0,91.75,128.72,108.02,107.43,92.6,106.54,108.24,107.4,97.35,106.07,95.42,90.85,100.82,107.0,104.48,106.88,91.64,119.75,96.66,99.34,84.95,98.44,107.16,109.92,140.0,107.01,104.09
0.0,2.56,10.59,17.92,28.11,34.1,38.3,44.64,52.94,59.49,60.48,62.03,58.06,61.69,57.65,56.31,52.6,54.21,57.24,57.3,57.91,62.73,59.48,59.64,62.71,56.16,55.7,60.89,58.68,57.09,57.04,56.71,56.92,57.22,56.33,58.89,59.46,55.53,59.93,53.41,56.08,54.43,47.04,44.04,41.87,35.23,31.7,24.95,25.04,18.23
0.93,4.63,8.33,13.86,17.57,26.18,25.33,36.49,39.37,45.51,45.9,35.95,43.94,46.36,48.33,45.36,45.05,42.43,45.6,43.76,42.28,41.0,41.63,45.44,40.3,43.59,48.39,40.17,45.82,46.11,43.59,46.33,43.9,46.85,41.26,50.13,48.78,37.78,47.98,42.74,45.71,41.98,38.25,38.52,30.16,33.48,25.91,24.79,25.58,24.46
97.33,86.62,74.34,89.72,71.37,89.43,76.04,21.87,67.15,79.8,93.11,102.14,104.22,68.94,84.39,99.95,85.81,104.01,89.02,97.5,113.62,68.31,81.39,93.94,90.29,99.67,82.48,89.56,78.01,99.85,87.59,96.01,104.02,99.3,105.87,121.16,124.73,97.18,80.99,103.42,88.28,97.74,79.52,90.47,97.72,90.78,93.82,77.97,90.74,78.03
51.73,23.09,75.97,94.06,67.17,81.46,58.73,23.23,69.14,75.7,78.95,83.22,72.17,104.56,86.47,105.54,79.2,71.31,86.38,56.7,82.5,82.44,60.98,63.62,93.49,77.91,40.81,74.46,62.62,59.97,49.25,61.15,88.94,63.16,76.82,58.7,84.1,79.05,69.05,74.57,75.6,59.77,62.02,65.87,90.35,73.55,80.1,86.24,67.89,70.87
77.67,86.0,73.11,85.62,75.06,76.43,87.04,55.92,83.42,81.96,88.18,62.78,76.23,88.68,74.95,28.43,76.8,81.05,52.29,76.8,80.14,80.09,94.58,68.36,95.15,71.02,59.18,93.44,88.01,77.01,68.35,72.87,78.44,92.03,59.58,72.85,92.73,69.56,67.6,94.66,22.85,76.99,100.15,85.79,36.1,48.93,113.14,68.72,91.1,113.22
0.0,6.11,13.77,19.49,22.51,31.69,36.55,42.23,50.41,58.99,55.74,60.0,55.31,52.0,57.96,55.35,61.69,57.16,58.32,50.76,57.64,55.25,53.14,59.68,51.59,56.53,53.62,56.29,54.63,54.92,55.64,52.59,58.55,57.46,52.5,59.7,57.75,55.77,51.2,53.53,53.97,52.43,47.42,44.86,39.92,34.61,30.59,28.8,24.2,21.24
51.74,44.9,87.88,72.71,24.39,82.61,68.72,73.68,76.72,64.61,72.54,84.74,63.39,88.47,75.53,22.6,56.09,101.16,62.47,64.92,78.08,60.92,75.41,71.23,56.82,71.49,74.81,58.21,77.14,79.26,58.62,76.72,73.65,66.77,67.78,75.63,63.8,109.73,61.27,62.14,55.46,50.25,72.7,47.42,74.82,102.16,93.52,36.46,77.02,62.82
62.3,90.61,80.98,66.74,76.33,68.37,62.89,76.89,67.31,110.34,35.76,82.13,64.6,77.03,18.92,76.6,72.98,75.75,67.63,96.21,60.38,82.86,58.82,77.25,78.11,71.86,90.05,72.89,74.4,92.68,60.73,64.53,95.64,68.13,70.0,84.04,37.35,64.02,50.29,56.85,100.05,115.04,82.62,70.23,80.3,50.0,83.66,61.36,64.82,77.26
